Strain,Gene,blattner,insertion,rel_cfu,rel_growth,stdev,pi_pos,stdev,
EPD203,mreD,b3249,yes,1.2E+00,0.87,0.19,1.4,0.2,
EPD204,mreC,b3250,no,,,,,,
EPD205,mreB,b3251,no,,,,,,
EPD206,accB,b3255,yes,1.5E-03,0.26,0.02,8.5,2.9,
EPD207,accC,b3256,yes,1.0E-06,0.02,0.01,19.9,9.8,
EPD208,tsaC,b3282,yes,1.0E-06,0.05,0.01,1.1,0.2,
EPD209,def,b3287,yes,2.4E-01,0.23,0.07,3.4,0.3,
EPD210,fmt,b3288,yes,4.4E-03,0.05,0.02,7.2,0.8,
EPD211,rplQ,b3294,yes,6.7E-01,0.42,0.09,3.1,0.3,
EPD212,rpoA,b3295,no,,,,,,
EPD213,rpsD,b3296,no,,,,,,
EPD214,rpsK,b3297,no,,,,,,
EPD215,secY,b3300,yes,1.0E-06,0.51,0.12,2.4,0.5,
EPD216,rplO,b3301,no,,,,,,
EPD217,rpmD,b3302,no,,,,,,
EPD218,rpsE,b3303,no,,,,,,
EPD219,rplR,b3304,no,,,,,,
EPD220,rplF,b3305,no,,,,,,
EPD221,rpsH,b3306,no,,,,,,
EPD222,rpsN,b3307,no,,,,,,
EPD223,rplE,b3308,no,,,,,,
EPD224,rplX,b3309,no,,,,,,
EPD225,rplN,b3310,no,,,,,,
EPD226,rpmC,b3312,no,,,,,,
EPD227,rplP,b3313,no,,,,,,
EPD228,rpsC,b3314,no,,,,,,
EPD229,rplV,b3315,no,,,,,,
EPD230,rpsS,b3316,no,,,,,,
EPD231,rplB,b3317,no,,,,,,
EPD232,rplW,b3318,no,,,,,,
EPD233,rplD,b3319,no,,,,,,
EPD234,rplC,b3320,no,,,,,,
EPD235,rpsJ,b3321,no,,,,,,
EPD236,fusA,b3340,yes,1.1E-03,0.35,0.05,3.5,0.5,
EPD237,rpsG,b3341,yes,8.8E-01,0.71,0.09,2.7,0.6,
EPD238,rpsL,b3342,yes,2.9E-03,0.75,0.01,10.4,1.3,
EPD239,trpS,b3384,yes,3.8E-04,0.02,0.00,5.8,0.7,
EPD240,yrfF,b3398,yes,8.4E-01,0.83,0.17,1.6,0.3,
EPD241,asd,b3433,yes,1.0E+00,0.95,0.07,1.7,0.5,
EPD242,rpoH,b3461,no,,,,,,
EPD243,ftsX,b3462,yes,8.8E-01,0.96,0.07,2.1,0.5,
EPD244,ftsE,b3463,yes,5.8E-01,0.99,0.08,6.5,0.3,
EPD245,ftsY,b3464,yes,1.0E-06,0.14,0.06,17.7,4.6,
